공통날짜,return
2018-12,0.0
2019-01,0.0
2019-02,0.0
2019-03,0.0
2019-04,0.00634049314363927
2019-05,0.05932227400762913
2019-06,-0.02721098852593873
2019-07,0.000333089227569916
2019-08,-0.020696348163218636
2019-09,-0.04393468711221693
2019-10,-0.010560909098692783
2019-11,-0.00019999999999997797
2019-12,0.06285049221761319
2020-01,-0.013603000510602925
2020-02,0.05167935730305828
2020-03,0.0
2020-04,0.0
2020-05,0.0
2020-06,0.0
2020-07,0.0
2020-08,0.01775017561436676
2020-09,0.006060703053144545
2020-10,-0.026087719583049673
2020-11,0.14549732981262653
2020-12,0.12315302008672968
2021-01,0.03568656329398778
2021-02,0.02636221333926292
2021-03,0.0
2021-04,0.0
2021-05,0.0
2021-06,0.0
2021-07,-0.008616087360458824
